NAME,qualification_percent
City of London,87.6
Barking and Dagenham,33.2
Barnet,55.9
Bexley,36.6
Brent,44.9
Bromley,48.8
Camden,58.8
Croydon,48.1
Ealing,56.2
Enfield,41.3
Greenwich,45.7
Hackney,54.9
Hammersmith and Fulham,61.6
Haringey,52.4
Harrow,44.7
Havering,27.8
Hillingdon,44.7
Hounslow,50
Islington,58.1
Kensington and Chelsea,62.4
Kingston upon Thames,53.7
Lambeth,64.4
Lewisham,51.1
Merton,60.5
Newham,48
Redbridge,48.6
Richmond upon Thames,71.6
Southwark,59.6
Sutton,44.3
Tower Hamlets,52.5
Waltham Forest,45.6
Wandsworth,70.6
Westminster,62.1
